,Sentiment,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
795,1,9655,1646,182,50,80,5078,628,2106,2043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,0,2765,54320,4105,424,561,19,746,899,39,1,288,84,3485,597,426,415,3485,0,0,0,0,0,0,0,0
382,0,213,1,4,322,746,224,3135,931,567,1022,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,0,2,15300,126,242,3249,1672,393,3822,1060,22425,629,12797,190,4757,2641,0,0,0,0,0,0,0,0,0,0
422,1,28095,3,1599,1315,712,1329,1410,5032,3728,712,683,460,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,110,746,2,19,1948,6532,331,50,1,931,142,846,516,101,130,18,875,709,0,0,0,0,0,0,0
804,1,1,2343,124,4,50,177,192,321,56,950,188,25,615,11,2,0,0,0,0,0,0,0,0,0,0
136,0,2765,1,81,721,746,237,5926,2426,4105,39,288,1,4962,140,3530,424,222,0,0,0,0,0,0,0,0
670,0,2641,1,846,899,674,1829,138,317,393,38,3598,14,441,696,1,0,0,0,0,0,0,0,0,0,0
777,1,235,39,50,931,1183,404,1772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,2235,1,508,2691,167,62,55,111,180,1655,899,71,101,2,7,746,674,433,0,0,0,0,0,0,0
344,0,1118,66,9,1794,456,746,302,82,2,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,1,248,156,9,1,53,28,511,712,98912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,383,1,1059,109,2,39922,1,1082,215,4,73955,3485,746,1,0,0,0,0,0,0,0,0,0,0,0
44,1,110,746,2,99,408,40,10804,132,41,267,296,22,0,0,0,0,0,0,0,0,0,0,0,0,0
404,1,339,10113,2101,7205,2599,8539,1527,80,23328,1008,7816,2,7,48,271,18,712,0,0,0,0,0,0,0,0
210,0,2,7,859,7955,64364,1,798,11644,2381,4995,746,2783,112,126,10148,17,1,0,0,0,0,0,0,0,0
428,1,7763,6555,28738,1,6935,746,302,111,9070,592,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,1,33,4,65,495,596,1690,14,441,696,1,4869,712,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,746,200,22877,69,1792,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,239,785,527,746,66357,64,404,1347,1448,1,5459,3075,8213,0,0,0,0,0,0,0,0,0,0,0,0
462,1,495,596,1690,3,380,6498,31,10,14,441,696,1,1,712,1,0,0,0,0,0,0,0,0,0,0
465,1,69,23,867,712,3,495,596,1690,2,24,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,0,746,1,1,337,761,1,1,433,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,1,746,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,1,4893,11014,2641,12017,128,23886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,115,60,1,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,1,3744,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,1,39,6555,28738,931,99755,2267,2675,915,49,377,8,28738,7763,712,4869,85,162,1,0,0,0,0,0,0,0
67,1,1,746,5570,976,445,12040,425,6834,2642,211,163,3,37,1425,0,0,0,0,0,0,0,0,0,0,0
723,0,2641,2779,2050,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,746,73,746,15,2,2182,1811,288,201,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,49035,443,174,712,1517,746,1,2,23,1,1643,2169,78,569,0,0,0,0,0,0,0,0,0,0,0
798,1,277,460,3811,50,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,0,2214,1148,846,2641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,0,319,426,23,26,3148,895,302,2507,1462,1,2706,1,746,1,0,0,0,0,0,0,0,0,0,0,0
300,0,1,22939,3485,3349,84,1462,1,746,1851,327,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,1684,230,272,52,158,2,12,93635,193,746,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,2765,1,3944,302,1517,21400,1978,2101,236,931,3,1578,14,441,696,1,1,0,0,0,0,0,0,0,0
714,0,2,7,8,1593,155,1473,174,5441,8432,184,64,12620,2484,425,2,176,5,21,2641,1473,415,0,0,0,0
611,1,2641,11018,1202,296,1672,157,393,3494,2641,1,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0
585,0,229,64,712,4,7060,2707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851,0,290,50,181,13650,838,74,104,10,408,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,184,9,302,534,27,15,43,239,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,1,4869,111,530,191,1244,456,1520,9984,712,4869,44081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,0,55985,712,936,35258,12279,936,761,44416,730,1010,907,15154,388,0,0,0,0,0,0,0,0,0,0,0,0
294,0,257,284,746,2648,895,38,193,109,37,33,4,22490,2883,746,567,1771,1,0,0,0,0,0,0,0,0
640,1,407,262,152,2347,2641,2108,327,9260,14,441,696,1,9984,31931,2641,0,0,0,0,0,0,0,0,0,0
526,1,11342,11074,1822,2223,200,219,6659,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,746,1247,6,302,302,831,327,910,1079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,0,69,390,18703,7205,1504,50,204,103,259,248,2,7,571,100,2,291,78,227,0,0,0,0,0,0,0
790,1,2765,1,1,50,313,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,0,58,17,283,2641,5831,1,106,399,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,2765,1,1,46,71,302,269,171,1499,315,244,51,746,759,0,0,0,0,0,0,0,0,0,0,0
644,1,9,3478,2635,2641,14845,555,12485,5500,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,131,47,577,746,1118,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,1,1,6,80,2231,2,7053,33,4,65,5,28738,125,712,0,0,0,0,0,0,0,0,0,0,0,0
316,0,556,746,13060,936,2,448,14101,60,109,9593,1,516,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,143,2765,4791,17138,746,130,516,43711,395,33,4,1702,1655,0,0,0,0,0,0,0,0,0,0,0,0
120,1,271,689,1,17543,331,1550,3058,81,114,3354,401,746,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,25,66,746,393,135,582,1850,1,302,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,746,302,111,58,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,0,275,2641,1,2074,1473,2516,1672,393,1672,157,393,6334,2,181,1672,157,1576,0,0,0,0,0,0,0,0
39,1,133,64,746,63186,797,111,1552,4983,5559,107,84954,14,441,696,1,13543,3622,2765,1,0,0,0,0,0,0
450,1,202,271,23812,6555,28738,1416,272,2231,1623,14,441,696,1,1,527,4869,28738,712,0,0,0,0,0,0,0
192,0,1,4869,304,27,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,1,6334,252,973,1465,14,441,696,1,2641,252,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,0,1886,1,3989,712,7763,51,79,142,198,25,3,3876,415,0,0,0,0,0,0,0,0,0,0,0,0
231,0,608,302,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,110,123,746,722,259,1,1,2149,4476,634,851,10301,14773,2,5613,0,0,0,0,0,0,0,0,0,0
762,0,1,55868,3636,400,5984,4,55,113,46,14,441,696,1,4869,712,2641,0,0,0,0,0,0,0,0,0
314,0,1139,54,2440,1,3576,1579,931,142,846,148,3,931,39,746,93635,193,611,219,1517,1849,0,0,0,0,0
215,0,45,302,72314,988,746,215,4,120,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,1,712,1461,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,1,2,5,231,55,712,3,5,177,6348,9264,4869,3683,712,4869,0,0,0,0,0,0,0,0,0,0,0
137,0,2765,1,10311,746,4983,270,38,1290,1831,6,222,6707,6555,96,1980,17171,222,157,1738,0,0,0,0,0,0
198,0,16,40,499,65,16,461,5,447,746,277,357,17,1,0,0,0,0,0,0,0,0,0,0,0,0
110,1,1,5,39,23274,416,157,683,3977,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0,160,3,355,43711,15,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,1,2,20,746,4,22582,249,1100,138,1100,1462,300,1,101,3,1454,41540,0,0,0,0,0,0,0,0
591,0,275,712,4,516,6167,6821,4869,38,60,325,121,2,236,94,5004,6,1,0,0,0,0,0,0,0,0
479,1,712,7763,591,3156,1690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,1,51,7763,6555,28738,495,596,1690,137,4869,1,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,1,51,126,443,2586,454,12,631,2205,2648,2641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,0,2765,1,50,551,30,119,2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,0,608,51,1714,124,51,4869,2767,1255,722,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,10591,619,201,277,2648,746,146,931,1064,2642,1834,2642,224,1419,340,30,878,341,38784,0,0,0,0,0,0
858,0,663,3,1355,97,5,2765,181,4,105,5,1,1492,50,547,3,12,99,79,0,0,0,0,0,0,0
487,1,2,7,93635,1576,44081,117,58,249,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,0,746,113,169,47,2,312,67,584,155,463,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0
529,1,2101,7205,1556,53,321,2722,712,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,746,62,422,106,453,1,1005,3951,1273,2941,2648,895,24,1899,1273,31,0,0,0,0,0,0,0,0,0
260,0,670,5232,1,1311,222,1462,3485,180,1517,5286,26,746,47,17,6,7067,1,415,0,0,0,0,0,0,0
533,1,2101,7205,44081,812,11,2,4,40,70000,1951,1561,354,1528,4869,44081,712,0,0,0,0,0,0,0,0,0
705,0,1,1770,5599,6049,2641,3,1008,1,7101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,1,2765,1,2765,106,1,245,80,42,670,8,1,383,58,17,1,1,1043,9886,0,0,0,0,0,0,0
451,1,596,779,448,335,495,596,157,249,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,0,50,37,11682,1,8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,1,40,14722,224,2950,712,14,441,696,1,24,39,28738,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,6272,2,7,1796,302,288,757,3107,895,548,1010,9,249,746,0,0,0,0,0,0,0,0,0,0,0
826,0,27,98322,1147,141,5,21,50,6,18898,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,1,50,153,89,170,209,358,105,1886,50,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,746,722,375,1,5286,147,151,1238,763,130,4,1016,16,0,0,0,0,0,0,0,0,0,0,0,0
65,1,746,5,106,2,7,1,1691,1561,112,135,17,5,584,4869,2178,0,0,0,0,0,0,0,0,0,0
209,0,2765,1,1,2381,746,260,204,16,140,6,1909,17,611,7131,33391,418,0,0,0,0,0,0,0,0,0
756,0,1,1,823,2486,1973,296,1811,130,574,14,441,696,1,55870,2641,0,0,0,0,0,0,0,0,0,0
778,1,1,382,1,3770,50,59,8259,50,313,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,1,2,7,2923,58,1980,816,1409,15,746,675,157,5376,39,157,80,1,0,0,0,0,0,0,0,0
513,1,871,2657,712,44081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,0,204,746,4216,2641,14,441,696,1,214,1742,675,8579,0,0,0,0,0,0,0,0,0,0,0,0,0
549,1,2,33,4,65,5,39,6555,28738,1,128,165,678,712,2726,14,441,696,1,675,26727,0,0,0,0,0
298,0,746,4,123,468,1462,237,352,691,143,38,957,16,123,1103,17,241,43,0,0,0,0,0,0,0,0
761,0,204,746,4216,2641,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,1,1,1,1,46,123,6125,712,4869,1008,1943,157,81,47,2466,9,249,123,0,0,0,0,0,0,0,0
784,1,492,38,171,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,0,154,4869,2778,415,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,0,2214,39364,2,126,2214,25,1830,198,2641,387,193,5984,404,683,14,441,696,1,0,0,0,0,0,0,0
457,1,210,615,80,712,712,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,746,150,1517,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,51,86,746,1884,678,123,516,4111,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,506,553,424,1458,8,2113,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,1,203,50,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,64364,1,7941,746,1273,39,1,550,599,1,115,115,202,9712,387,17,931,7205,93635,193,0,0,0,0,0
718,0,14,441,696,1,631,93,11,1,1,2641,2371,5552,0,0,0,0,0,0,0,0,0,0,0,0,0
581,0,9,249,712,319,5,311,233,1952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,1,12,2641,3489,12,35,10530,2147,43,1,385,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,0,2641,66,325,323,8902,1,506,323,190,49796,675,1,14,441,696,1,0,0,0,0,0,0,0,0,0
867,0,81,47,5303,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,0,712,1602,816,70063,7612,1602,10358,10235,377,8,2041,1297,2373,14,441,696,1,1,0,0,0,0,0,0,0
426,1,51,112,712,28738,157,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,601,3354,3,12218,1829,153,198,302,2,23,709,18,14,441,696,1,91397,746,0,0,0,0,0,0,0
31,1,1667,53,4715,2,43711,4981,746,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,0,721,8009,846,1,1654,746,154,32953,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0,27,746,281,6933,1276,302,111,1,308,37,118,1,165,12410,2483,38,2672,2086,3,1,1,0,0,0,0
507,1,2765,1,1,12383,200,270,490,402,167,490,423,441,712,1,0,0,0,0,0,0,0,0,0,0,0
811,1,2765,1,50,150,134,732,312,1026,100,4720,332,131,18,0,0,0,0,0,0,0,0,0,0,0,0
109,1,2765,1,1,5,39,23274,416,157,683,3977,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,746,2265,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,0,100,833,460,50,1263,2,7,5,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,1,2686,1365,746,141,1670,58,1510,238,251,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,1392,304,64,1113,1462,916,93635,746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,1,65324,2,24,495,596,1690,712,4869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,1,69,5269,154,2641,1,15517,468,1,793,520,3329,15666,31,152,0,0,0,0,0,0,0,0,0,0,0
196,0,611,79,64,39,5139,761,219,17592,1985,689,22,3496,3496,6,746,408,192,0,0,0,0,0,0,0,0
290,0,487,746,5748,192,157,6977,3176,669,3224,5,7546,1545,2178,5,16,1,720,1132,0,0,0,0,0,0,0
680,0,631,1672,387,2641,33,4,322,668,1,899,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0
5,1,51,1345,1485,79,43711,55,304,2,370,211,746,150,43711,1250,4048,14,441,696,1,675,1,0,0,0,0
54,1,125,158,1448,761,1,27,78,746,628,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0,0
664,0,2641,4432,9152,674,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,1,3204,105,2641,37,867,13543,1900,14,441,696,1,1,3204,0,0,0,0,0,0,0,0,0,0,0,0
825,0,81,856,4,10,87,18898,4,24,288,124,50,300,1408,2868,0,0,0,0,0,0,0,0,0,0,0
97,1,113,746,1,8783,141,123,125,11799,520,48,195,1611,895,14,441,696,1,0,0,0,0,0,0,0,0
837,0,50,931,213,4,105,1832,2,764,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,0,50,8992,2,33,4,23,8635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,0,1394,1650,50,234,67,24,2642,4715,177,38384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,1,712,22877,3876,591,3993,115,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,2765,1,2,7,797,100,836,1,2,20,3,1623,157,2,76,176,2,7,73,0,0,0,0,0,0
84,1,1448,39,1,43,746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,488,2,20,746,1664,155,5096,2,2925,63,43711,2182,89,3121,1719,710,4190,0,0,0,0,0,0,0,0
218,0,31972,302,37,96,4160,556,746,1108,96,12,1108,30252,245,54,4105,1108,96,4160,1,1,0,0,0,0,0
365,0,78663,129,2543,1648,456,952,28,487,746,277,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,1,712,495,596,1690,208,777,160,20,14,441,696,1,712,4869,495,596,1690,0,0,0,0,0,0,0,0
576,0,556,712,7763,494,1791,3985,129,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,1492,253,43711,28,24,1462,27,125,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,0,1,5748,2440,19029,606,1,2641,805,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0,0,0
296,0,43,746,1829,288,26558,15425,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1118,11,3269,281,134,230,746,302,131,14179,215,4,344,134,0,0,0,0,0,0,0,0,0,0,0
752,0,1,1,133,1304,99,85,299,115,1,175,2641,169,54488,2134,88,1545,3098,1,455,36675,3,45460,0,0,0
393,0,2765,1,31,746,160,78,1082,2,33,4,1232,252,2521,358,4528,32274,2,5,632,0,0,0,0,0,0
286,0,69,915,732,38,135,173,28738,22,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,227,746,13278,10509,540,302,133,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,0,124,2641,154,1519,28434,6951,36,198,1,1019,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0
81,1,2765,1,740,1,740,746,56462,365,7906,9052,138,14,441,696,1,0,0,0,0,0,0,0,0,0,0
768,0,6534,1055,10216,236,66,258,2218,36,21,22731,1051,684,2641,0,0,0,0,0,0,0,0,0,0,0,0
626,1,55868,3510,46,171,244,609,141,408,9421,244,126,4869,14,441,696,1,1884,2641,569,13384,0,0,0,0,0
544,1,113,239,2267,931,11314,4869,111,530,16983,6222,1,712,4869,44081,0,0,0,0,0,0,0,0,0,0,0
398,1,534,86,5899,195,712,7379,126,915,27,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0,0
765,0,1,22,21702,1347,1508,8704,8914,910,2641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,24440,2879,269,1008,39,7926,3445,4327,6849,18201,3629,746,385,21,1,1,1,0,0,0,0,0,0,0,0
326,0,556,746,9513,4399,9440,1623,302,1,288,62,1517,215,4,10,354,1130,7930,71464,0,0,0,0,0,0,0
523,1,8755,12366,18217,712,3509,53,321,1799,23,179,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0
746,0,38569,182,2765,1,443,697,359,2765,1,2641,415,1,1,3621,14,441,696,1,0,0,0,0,0,0,0
368,0,101,746,215,4,120,126,1626,1082,1262,2,1626,689,891,140,2,14230,6154,208,729,0,0,0,0,0,0
706,0,2,33012,6,830,2641,1009,2,4,19,2,142,150,830,5749,14,441,696,1,0,0,0,0,0,0,0
425,1,712,1,3156,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,1,2765,1,43,7763,712,2,7,1693,495,596,1690,1,712,7763,0,0,0,0,0,0,0,0,0,0,0
759,0,712,1517,2043,2641,443,11827,1350,712,1517,548,1116,2642,14,441,696,1,0,0,0,0,0,0,0,0,0
859,0,1,663,582,311,16876,1492,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,0,2765,37468,204,746,4216,2641,14,441,696,1,115,2641,3,1109,6133,238,9894,0,0,0,0,0,0,0,0
266,0,746,130,516,43711,395,33,4,1702,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,2765,1,200,1399,746,1980,816,1113,176,13868,52770,64,3685,46001,746,567,0,0,0,0,0,0,0,0,0
817,0,50,460,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1253,886,1113,128,1980,816,4775,10637,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,0,50,580,1,1244,7193,96,59,3217,1887,286,1,2765,4433,905,20488,0,0,0,0,0,0,0,0,0,0
155,0,341,74,746,28,218,237,2322,252,1602,39,1691,1561,46,269,32605,1,2642,0,0,0,0,0,0,0,0
331,0,2,31,99,746,215,4,120,1719,1,931,300,5286,25,2524,3579,0,0,0,0,0,0,0,0,0,0
101,1,746,93635,193,305,22237,157,915,850,824,2026,3003,1,3241,10113,50,27,78,0,0,0,0,0,0,0,0
380,0,1725,394,521,302,111,262,1,1462,190,1272,1458,746,567,1314,343,0,0,0,0,0,0,0,0,0,0
281,0,1,1,396,3,743,1018,746,269,516,25,71,746,530,1,0,0,0,0,0,0,0,0,0,0,0
359,0,119,2322,154,2423,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,288,10944,193,190,316,157,461,120,574,1082,612,43,746,0,0,0,0,0,0,0,0,0,0,0,0
299,0,6,746,2074,129,1,1823,37,1823,302,215,4,353,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1140,527,271,123,6972,746,3,43711,177,47,1424,12,5704,14,441,696,1,0,0,0,0,0,0,0,0
247,0,357,17,2,84,732,1560,594,764,267,1,104,125,673,2241,2642,858,37,5195,746,0,0,0,0,0,0
478,1,200,2765,1,1,8755,18217,5658,14,441,696,1,712,0,0,0,0,0,0,0,0,0,0,0,0,0
689,0,2765,1,597,16,9206,1980,16,1,119,1650,1717,3109,1262,345,557,119,4736,3831,2641,415,0,0,0,0,0
280,0,746,67,599,4055,1980,1850,10371,1,258,5857,1643,1648,2898,14,441,696,1,0,0,0,0,0,0,0,0
158,0,2,78,7062,746,3,1,1449,1980,816,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,1,159,495,596,1690,712,4869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,1,2,142,40297,47,31,11,50,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,1,39,6555,28738,1829,99755,8662,495,596,1690,916,4869,28738,7763,712,4869,85,162,1,0,0,0,0,0,0,0
292,0,16004,93635,288,1253,208,1,3,6728,2,276,714,746,516,25,0,0,0,0,0,0,0,0,0,0,0
755,0,2641,3,1,1418,4869,157,27,1,1023,2466,14,441,696,1,675,18915,0,0,0,0,0,0,0,0,0
412,1,2765,1,158,2,76,454,12,6555,28738,712,7763,1,4869,0,0,0,0,0,0,0,0,0,0,0,0
622,1,2641,2195,51,39,1364,915,43096,712,915,14,441,696,1,0,0,0,0,0,0,0,0,0,0,0,0
521,1,39,1185,931,1442,2077,1374,2826,66958,1185,1047,3329,29004,534,10389,712,4869,44081,0,0,0,0,0,0,0,0
338,0,965,72,746,3,1,2,7,1329,6,21,11650,111,38,1556,193,736,672,133,6293,82,0,0,0,0,0
